Z,StrNum,L_fromOutl
4538.120473,7,50814.95234
4379.035636,4,54240.46532
4418.426967,103,119873.8657
4392.45015,102,115305.4891
4458.812792,19,104363.5887
4403.528331,12,63657.14714
4530.297445,98,126209.7445
4545.919505,97,130346.212
4362.446711,11,66235.7467
4517.513762,99,124835.7748
4459.347187,100,121456.5865
4359.986555,18,88976.54106
4528.856646,14,73634.93501
4532.765026,86,169643.3852
4535.484728,105,100790.2077
4493.350018,16,91502.05405
4385.76773,15,75411.33111
4503.85399,28,137156.212
4402.389524,50,246684.6448
4495.950355,1,39707.24456
4408.008789,69,197720.1297
4459.47232,80,181231.7618
4412.120679,49,241882.6643
4394.893905,68,212645.4825
4509.760585,9,78133.38305
4368.815375,21,108488.8787
4432.956214,75,183616.686
4394.696212,104,114922.7683
4368.077326,22,124313.4999
4393.502033,74,184046.9804
4474.289451,10,79887.05838
4419.284577,81,179491.396
4447.649213,70,190957.489
4538.241995,26,146089.5129
4456.462661,77,179391.9847
4514.442722,25,144860.396
4368.656551,8,73384.12332
4371.570948,47,248663.7617
4394.632738,89,151907.8094
4387.799715,52,262525.9565
4373.888275,17,89363.52591
4408.616697,82,172299.7098
4489.149237,13,63678.9848
4506.054936,88,159655.3029
4443.918116,48,244289.4262
4466.40887,56,294091.8093
4415.545758,71,190333.5193
4475.292775,53,267312.1297
4397.911398,45,244066.1167
4422.458034,51,252393.9046
4363.045083,3,54106.27268
4395.143933,54,261935.3678
4503.733891,46,241759.6492
4424.082345,73,186784.6254
4493.647044,23,143900.0302
4505.434356,57,286218.2855
4475.318782,65,239398.3288
4395.345471,34,149523.554
4409.139064,95,139060.1016
4425.803378,76,179854.4111
4425.821041,78,178634.7055
4358.048171,2,35521.4372
4364.150336,20,104011.751
4496.214689,58,283446.3764
4485.891913,84,176363.751
4460.647136,85,171770.0042
4407.120834,37,158032.5908
4452.720214,66,226104.3678
4407.685327,96,139149.2185
4496.825255,24,137517.4609
4402.048326,35,151912.3765
4394.693286,63,253470.8894
4397.471916,60,262787.7942
4512.179389,94,150606.7834
4409.119698,91,174146.0345
4482.363226,90,185063.5994
4404.997684,55,285484.6102
4368.74638,83,174738.238
4464.369739,62,255726.4024
4471.294922,61,256013.976
4420.387029,31,150285.4631
